Frame, Time (ms)
    1,     0.000
    2,    12.244
    3,    28.934
    4,    47.001
    5,    62.642
    6,    79.277
    7,    96.002
    8,   112.764
    9,   129.470
   10,   146.213
   11,   162.999
   12,   179.782
   13,   196.517
   14,   213.320
   15,   229.975
   16,   246.752
   17,   263.534
   18,   280.236
   19,   297.000
   20,   313.698
   21,   330.445
   22,   347.191
   23,   363.940
   24,   380.701
   25,   397.446
   26,   414.201
   27,   430.955
   28,   447.694
   29,   464.445
   30,   481.197
   31,   497.954
   32,   514.842
   33,   531.453
   34,   548.198
   35,   564.951
   36,   581.701
   37,   598.451
   38,   615.275
   39,   631.968
   40,   648.714
   41,   665.456
   42,   682.207
   43,   698.955
   44,   715.710
   45,   732.484
   46,   749.217
   47,   765.961
   48,   782.714
   49,   799.493
   50,   816.214
   51,   832.964
   52,   849.712
   53,   866.464
   54,   883.227
   55,   899.964
   56,   916.720
   57,   933.469
   58,   950.226
   59,   966.968
   60,   983.776
   61,  1000.482
   62,  1017.219
   63,  1033.974
   64,  1050.719
   65,  1067.471
   66,  1084.222
   67,  1100.972
   68,  1117.724
   69,  1134.479
   70,  1151.225
   71,  1167.974
   72,  1185.008
   73,  1201.476
   74,  1218.228
   75,  1234.978
   76,  1251.729
   77,  1268.479
   78,  1285.271
   79,  1302.012
   80,  1318.829
   81,  1335.572
   82,  1352.299
   83,  1372.781
   84,  1386.855
   85,  1402.544
   86,  1419.335
   87,  1436.079
   88,  1452.771
   89,  1469.511
   90,  1486.321
   91,  1503.210
   92,  1519.804
   93,  1536.498
   94,  1553.245
   95,  1569.996
   96,  1586.753
   97,  1603.498
   98,  1620.248
   99,  1637.004
  100,  1653.749
  101,  1670.507
  102,  1687.253
  103,  1704.002
  104,  1720.763
  105,  1737.510
  106,  1754.254
  107,  1771.003
  108,  1787.754
  109,  1804.657
  110,  1821.257
  111,  1838.008
  112,  1854.762
  113,  1871.548
  114,  1888.260
  115,  1905.008
  116,  1921.758
  117,  1938.532
  118,  1955.263
  119,  1972.012
  120,  1988.863
  121,  2005.515
  122,  2022.263
  123,  2039.018
  124,  2055.766
  125,  2072.517
  126,  2089.272
  127,  2106.017
  128,  2122.768
  129,  2139.521
  130,  2156.275
  131,  2173.021
  132,  2189.773
  133,  2206.521
  134,  2223.271
  135,  2240.024
  136,  2256.773
  137,  2273.524
  138,  2290.292
  139,  2307.029
  140,  2323.776
  141,  2340.534
  142,  2357.279
  143,  2374.094
  144,  2390.784
  145,  2407.530
  146,  2424.281
  147,  2441.035
  148,  2457.783
  149,  2474.532
  150,  2491.366
  151,  2508.046
  152,  2524.820
  153,  2541.583
  154,  2558.365
  155,  2575.096
  156,  2591.839
  157,  2608.569
  158,  2625.366
  159,  2642.162
  160,  2658.880
  161,  2675.580
  162,  2692.331
  163,  2709.141
  164,  2725.888
  165,  2742.608
  166,  2759.303
  167,  2776.050
  168,  2792.802
  169,  2809.590
  170,  2826.307
  171,  2843.057
  172,  2859.803
  173,  2876.564
  174,  2893.306
  175,  2910.055
  176,  2926.977
  177,  2943.561
  178,  2960.307
  179,  2977.056
  180,  2993.829
  181,  3010.560
  182,  3027.309
  183,  3044.060
  184,  3060.811
  185,  3077.561
  186,  3094.313
  187,  3111.063
  188,  3127.812
  189,  3144.571
  190,  3161.316
  191,  3178.065
  192,  3194.819
  193,  3211.566
  194,  3228.317
  195,  3245.068
  196,  3261.820
  197,  3278.569
  198,  3295.335
  199,  3312.072
  200,  3328.822
  201,  3345.574
  202,  3362.323
  203,  3379.080
  204,  3395.826
  205,  3412.576
  206,  3429.326
  207,  3446.080
  208,  3462.827
  209,  3479.595
  210,  3496.336
  211,  3513.084
  212,  3529.831
  213,  3546.585
  214,  3563.335
  215,  3580.083
  216,  3596.837
  217,  3613.586
  218,  3630.337
  219,  3647.088
  220,  3663.840
  221,  3680.596
  222,  3697.344
  223,  3714.096
  224,  3731.154
  225,  3748.500
  226,  3764.373
  227,  3781.156
  228,  3798.216
  229,  3814.649
  230,  3831.378
  231,  3848.202
  232,  3864.984
  233,  3881.698
